t,100,500,1000,5000,10000
1,1,1,1,1,1
2,0.806,0.848,1.187,1.85,1.914
3,0.539,0.776,1.426,2.672,2.791
4,0.415,0.614,1.306,3.319,3.625
5,0.397,0.56,1.059,3.939,4.426
6,0.391,0.572,1.039,4.176,5.136
7,0.434,0.521,0.936,4.419,5.84
8,0.408,0.492,0.886,4.355,6.254
9,0.447,0.486,0.864,3.919,6.193
10,0.48,0.48,0.865,3.877,6.16
11,0.403,0.478,0.85,3.57,6.185
12,0.39,0.464,0.812,3.571,6.266
13,0.387,0.464,0.812,3.595,6.207
14,0.358,0.457,0.819,3.559,6.399
15,0.412,0.465,0.831,3.477,6.394
16,0.417,0.455,0.829,3.483,6.409
17,0.332,0.451,0.816,3.509,6.501
18,0.362,0.456,0.812,3.511,6.595
19,0.324,0.448,0.825,3.477,6.553
20,0.311,0.443,0.804,3.448,6.553
