idx;improve3;improve6;improve9;aimprove3;aimprove6;aimprove9;startcost;finalcost;optimalcost;iter3;iter6;iter9;aiter3;aiter6;aiter9
0;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0021;1;1;1.0088;1.0026;1;1.0166;1.0038;1
1;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.005;1;1;1.0097;1.0026;1;1.021;1.0054;1
2;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0103;1;1;1.0099;1.0027;1;1.0228;1.0068;1
3;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0146;1;1;1.0102;1.0028;1;1.0229;1.0073;1
4;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0152;1;1;1.0111;1.003;1;1.0282;1.0073;1
5;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0154;1;1;1.0112;1.0038;1;1.0287;1.0087;1
6;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0192;1;1;1.0129;1.004;1;1.0296;1.0093;1
7;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0193;1;1;1.0132;1.0044;1;1.032;1.0094;1
8;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0193;1;1;1.0162;1.0044;1;1.0324;1.0095;1
9;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0203;1.0001;1;1.0163;1.0056;1;1.0348;1.0104;1
10;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0218;1.0002;1;1.0172;1.0058;1;1.0353;1.0105;1
11;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0224;1.0003;1;1.0178;1.0058;1;1.0358;1.0113;1
12;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0232;1.0003;1;1.0193;1.0078;1;1.0378;1.0117;1
13;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0237;1.0008;1;1.0196;1.0079;1;1.0452;1.0119;1
14;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0254;1.0009;1;1.0197;1.0081;1;1.0481;1.0123;1.0015
15;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0273;1.0016;1;1.0203;1.0083;1;1.0485;1.0133;1.0017
16;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.028;1.0017;1;1.0219;1.0089;1;1.0551;1.0136;1.0018
17;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0282;1.0021;1;1.0235;1.0094;1;1.0574;1.014;1.0023
18;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0291;1.0037;1;1.0237;1.0095;1;1.0596;1.0141;1.0031
19;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0298;1.0038;1;1.0238;1.01;1;1.0599;1.0143;1.0032
20;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0327;1.004;1;1.026;1.0102;1;1.0616;1.0146;1.0039
21;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0328;1.0058;1;1.0278;1.011;1;1.062;1.0151;1.0044
22;1.0005;1.0000;1.0000;1.0005;1.0000;1.0000;1.0332;1.0067;1;1.0294;1.0111;1;1.0632;1.0185;1.005
23;1.0009;1.0002;1.0001;1.0009;1.0002;1.0001;1.0335;1.0068;1;1.0303;1.0137;1;1.0681;1.0187;1.0053
24;1.0010;1.0007;1.0008;1.0010;1.0007;1.0008;1.0349;1.0085;1;1.0331;1.0145;1;1.0773;1.0187;1.0067
25;1.0011;1.0013;1.0008;1.0011;1.0013;1.0008;1.0356;1.0099;1;1.0339;1.0145;1;1.0785;1.0193;1.0073
26;1.0019;1.0023;1.0014;1.0019;1.0023;1.0014;1.0358;1.0105;1;1.0358;1.0151;1;1.0793;1.0211;1.0077
27;1.0021;1.0025;1.0019;1.0021;1.0025;1.0019;1.0371;1.0109;1;1.0364;1.0156;1;1.0865;1.0214;1.0084
28;1.0034;1.0041;1.0031;1.0034;1.0041;1.0031;1.0376;1.0117;1;1.0374;1.0175;1;1.0873;1.0243;1.0086
29;1.0042;1.0047;1.0049;1.0042;1.0047;1.0049;1.0379;1.0126;1;1.0381;1.0195;1;1.0887;1.0281;1.01
30;1.0050;1.0050;1.0058;1.0050;1.0050;1.0058;1.0397;1.0146;1;1.0406;1.0196;1;1.0913;1.0298;1.0102
31;1.0061;1.0061;1.0067;1.0061;1.0061;1.0067;1.0423;1.0146;1;1.0421;1.0213;1;1.0967;1.0343;1.0111
32;1.0073;1.0074;1.0070;1.0073;1.0074;1.0070;1.0427;1.0169;1;1.0462;1.0229;1;1.103;1.0348;1.0127
33;1.0085;1.0082;1.0072;1.0085;1.0082;1.0072;1.043;1.0201;1;1.0475;1.0241;1;1.1077;1.0356;1.0129
34;1.0101;1.0113;1.0085;1.0101;1.0113;1.0085;1.043;1.0203;1;1.0481;1.0247;1;1.1081;1.0386;1.017
35;1.0107;1.0114;1.0107;1.0107;1.0114;1.0107;1.0433;1.0217;1;1.0519;1.0303;1;1.1158;1.0424;1.0196
36;1.0116;1.0137;1.0139;1.0116;1.0137;1.0139;1.0435;1.0218;1;1.0535;1.0329;1;1.1216;1.0512;1.0225
37;1.0156;1.0138;1.0143;1.0156;1.0138;1.0143;1.0445;1.0228;1;1.0664;1.0368;1;1.133;1.0514;1.0247
38;1.0161;1.0139;1.0154;1.0161;1.0139;1.0154;1.0485;1.0293;1;1.0745;1.0372;1;1.1389;1.0619;1.0247
39;1.0164;1.0160;1.0170;1.0164;1.0160;1.0170;1.0485;1.0293;1;1.0786;1.0428;1;1.1412;1.0722;1.0329
40;1.0165;1.0172;1.0172;1.0165;1.0172;1.0172;1.0495;1.0298;1;1.093;1.0431;1;1.1459;1.0914;1.0391
41;1.0173;1.0175;1.0178;1.0173;1.0175;1.0178;1.05;1.0313;1;1.0972;1.0481;1;1.1515;1.0966;1.0414
42;1.0183;1.0196;1.0200;1.0183;1.0196;1.0200;1.0507;1.0327;1;1.1017;1.0484;1;1.1564;1.0982;1.0452
43;1.0186;1.0197;1.0208;1.0186;1.0197;1.0208;1.0513;1.0327;1;1.1136;1.0536;1;1.1657;1.0985;1.0461
44;1.0189;1.0199;1.0218;1.0189;1.0199;1.0218;1.0514;1.0331;1;1.1622;1.0733;1;1.2468;1.1439;1.0604
45;1.0202;1.0205;1.0218;1.0202;1.0205;1.0218;1.0517;1.0356;1;1.175;1.0841;1;1.2595;1.1536;1.0667
46;1.0214;1.0209;1.0224;1.0214;1.0209;1.0224;1.052;1.0358;1;1.1915;1.092;1;1.2844;1.168;1.067
47;1.0224;1.0224;1.0229;1.0224;1.0224;1.0229;1.0522;1.0397;1;1.1967;1.0949;1;1.2882;1.1701;1.0686
48;1.0232;1.0232;1.0232;1.0232;1.0232;1.0232;1.0525;1.0405;1;1.1972;1.0955;1;1.2897;1.1718;1.0757
49;1.0236;1.0233;1.0239;1.0236;1.0233;1.0239;1.0526;1.0409;1;1.1988;1.1019;1;1.2986;1.1778;1.0759
50;1.0276;1.0239;1.0250;1.0276;1.0239;1.0250;1.0526;1.0423;1;1.253;1.1062;1;1.386;1.2109;1.0772
51;1.0277;1.0250;1.0265;1.0277;1.0250;1.0265;1.0529;1.043;1;1.2627;1.1086;1;1.3967;1.2195;1.0795
52;1.0282;1.0282;1.0282;1.0282;1.0282;1.0282;1.0535;1.0435;1;1.2675;1.1267;1;1.4022;1.2241;1.0824
53;1.0291;1.0316;1.0311;1.0291;1.0316;1.0311;1.0538;1.0441;1;1.281;1.1402;1;1.4152;1.2397;1.0833
54;1.0309;1.0328;1.0328;1.0309;1.0328;1.0328;1.0541;1.0485;1;1.3712;1.1629;1;1.5895;1.3074;1.0862
55;1.0328;1.0334;1.0375;1.0328;1.0334;1.0375;1.055;1.05;1;1.3941;1.1698;1;1.6033;1.3132;1.0903
56;1.0372;1.0376;1.0376;1.0372;1.0376;1.0376;1.0552;1.0507;1;1.4084;1.1705;1.0003;1.6302;1.3175;1.0985
57;1.0376;1.0379;1.0379;1.0376;1.0379;1.0379;1.0561;1.0522;1;1.4099;1.1719;1.001;1.6389;1.3194;1.0986
58;1.0379;1.0390;1.0393;1.0379;1.0390;1.0393;1.0561;1.0526;1;1.4191;1.1738;1.0014;1.6424;1.3234;1.1061
59;1.0433;1.0430;1.0430;1.0433;1.0430;1.0430;1.0588;1.0535;1;1.4237;1.1738;1.0027;1.6513;1.3245;1.1065
60;1.0446;1.0459;1.0433;1.0446;1.0459;1.0433;1.0588;1.0538;1;1.4261;1.1793;1.0055;1.662;1.325;1.1096
61;1.0485;1.0485;1.0485;1.0485;1.0485;1.0485;1.0634;1.0541;1;1.4448;1.1801;1.007;1.6719;1.3302;1.11
62;1.0520;1.0520;1.0518;1.0520;1.0520;1.0518;1.0635;1.055;1;1.4498;1.1842;1.0112;1.6772;1.3357;1.1104
63;1.0529;1.0529;1.0520;1.0529;1.0529;1.0520;1.0637;1.0561;1;1.4716;1.1913;1.0114;1.716;1.3413;1.1181
64;1.0538;1.0534;1.0529;1.0538;1.0534;1.0529;1.0645;1.0561;1;1.6632;1.2461;1.0116;2.0836;1.478;1.133
65;1.0552;1.0552;1.0545;1.0552;1.0552;1.0545;1.0656;1.0576;1;1.7003;1.2574;1.014;2.1339;1.4839;1.1389
66;1.0582;1.0573;1.0566;1.0582;1.0573;1.0566;1.0726;1.0585;1;1.7242;1.2719;1.0143;2.2328;1.5135;1.1427
67;1.0598;1.0629;1.0582;1.0598;1.0629;1.0582;1.0739;1.0588;1;1.7602;1.2725;1.0172;2.4813;1.5439;1.1454
68;1.0719;1.0714;1.0705;1.0719;1.0714;1.0705;1.0801;1.0594;1;1.8295;1.2958;1.0214;2.5027;1.5509;1.1677
69;1.0724;1.0724;1.0714;1.0724;1.0724;1.0714;1.0806;1.0628;1;1.8563;1.323;1.0405;2.521;1.5622;1.1953
