idx;full_base;full_ws1;full_ws5;full_patch;full_patch+ws1;full_patch+ws5;simple_base;simple_ws1;simple_ws5;simple_patch;simple_patch+ws1;simple_patch+ws5
0;1;1;1.0568;1;1;1.0924;1.0357;1;1;1;1;1
1;1;1;1.1066;1;1;1.1062;1.0422;1;1;1;1;1
2;1;1;1.1288;1;1;1.1184;1.0662;1;1;1;1;1
3;1.0193;1;1.1577;1;1;1.1319;1.0915;1;1;1;1;1
4;1.0301;1.0011;1.1622;1;1;1.1406;1.1065;1.0001;1;1;1;1
5;1.0348;1.0037;1.1829;1;1;1.156;1.1239;1.0047;1;1;1;1
6;1.0348;1.0052;1.1865;1;1;1.175;1.1316;1.0049;1;1.035;1;1
7;1.0354;1.013;1.1932;1;1;1.1768;1.144;1.005;1;1.0395;1;1
8;1.0422;1.0151;1.2242;1;1;1.1954;1.1577;1.0051;1;1.0398;1;1
9;1.0543;1.0168;1.2421;1;1;1.2031;1.1606;1.0051;1;1.04;1;1.0026
10;1.0574;1.0191;1.2612;1;1;1.2311;1.1653;1.0115;1;1.0472;1;1.0028
11;1.0594;1.0216;1.2645;1;1;1.2897;1.1683;1.0132;1;1.0548;1;1.0048
12;1.0628;1.0238;1.2769;1;1.0017;1.3145;1.1723;1.0135;1;1.0687;1;1.0073
13;1.0714;1.0276;1.282;1;1.0023;1.3171;1.175;1.0151;1;1.0777;1.0007;1.0089
14;1.0732;1.0338;1.3113;1;1.0073;1.3194;1.1773;1.0153;1;1.0791;1.0059;1.0107
15;1.0765;1.0448;1.3297;1;1.0197;1.3364;1.1812;1.0155;1;1.0796;1.006;1.0158
16;1.0777;1.0561;1.3372;1;1.0221;1.3428;1.1813;1.0169;1.0002;1.0806;1.0092;1.0168
17;1.0881;1.0668;1.3442;1;1.0241;1.368;1.1865;1.0267;1.0002;1.0886;1.0114;1.0199
18;1.0962;1.0976;1.3709;1;1.0566;1.3772;1.1916;1.0318;1.0005;1.0889;1.013;1.0209
19;1.0965;1.1003;1.4087;1;1.06;1.3925;1.195;1.0326;1.0077;1.1166;1.017;1.023
20;1.0971;1.1023;1.4191;1;1.0631;1.4171;1.2162;1.0366;1.0147;1.1224;1.0229;1.0258
21;1.1045;1.122;1.5035;1;1.0942;1.452;1.2298;1.0389;1.0168;1.127;1.0233;1.0355
22;1.1197;1.1427;1.5048;1;1.1041;1.5054;1.2321;1.0442;1.0186;1.1301;1.0248;1.0355
23;1.1336;1.1436;1.5052;1;1.1056;1.5467;1.2377;1.0472;1.0191;1.1329;1.0249;1.0386
24;1.1347;1.1473;1.6;1;1.1318;1.5655;1.2385;1.0479;1.0231;1.1397;1.0323;1.0435
25;1.1369;1.176;1.6548;1;1.1382;1.6974;1.239;1.0485;1.0236;1.142;1.036;1.0445
26;1.1377;1.1931;1.7694;1;1.1384;1.8604;1.2529;1.0598;1.024;1.1444;1.0376;1.046
27;1.1394;1.2214;1.8421;1;1.1501;1.8834;1.258;1.0648;1.0252;1.1467;1.038;1.0504
28;1.159;1.2342;2.16;1;1.1521;2.1643;1.2755;1.074;1.0367;1.1486;1.039;1.0506
29;1.1606;1.2374;2.161;1.004;1.1548;2.1904;1.2755;1.0756;1.0374;1.1636;1.041;1.0555
30;1.1642;1.2569;2.1797;1.009;1.1661;2.2065;1.2986;1.0794;1.0376;1.1716;1.0429;1.0594
31;1.1683;1.2689;2.4844;1.0135;1.2075;2.5057;1.3176;1.0804;1.0382;1.1739;1.0461;1.0612
32;1.1714;1.2862;2.5462;1.0141;1.2102;2.6217;1.3259;1.0875;1.0409;1.1881;1.053;1.0618
33;1.18;1.3066;2.6965;1.0159;1.2279;2.6794;1.3274;1.0986;1.0481;1.2018;1.0556;1.0656
34;1.1865;1.3129;2.9771;1.0164;1.2764;2.8813;1.3468;1.1007;1.051;1.2021;1.0667;1.0673
35;1.1973;1.3351;3.0177;1.039;1.2809;2.9792;1.3597;1.1018;1.0572;1.2061;1.0792;1.0688
36;1.2058;1.3798;3.0469;1.0453;1.3126;3.0517;1.3685;1.1312;1.0683;1.2106;1.08;1.0724
37;1.208;1.3958;3.1081;1.0457;1.3282;3.0785;1.418;1.1446;1.079;1.2139;1.084;1.0781
38;1.2149;1.4078;3.1375;1.0481;1.3533;3.0863;1.4543;1.152;1.0825;1.2158;1.09;1.0854
39;1.2362;1.4271;3.1796;1.0814;1.4127;3.1241;1.462;1.1617;1.0845;1.2303;1.097;1.0907
40;1.2379;1.4985;3.2967;1.0898;1.453;3.2744;1.4688;1.1626;1.0918;1.2383;1.1071;1.0927
41;1.239;1.5225;3.4044;1.0919;1.4678;3.4621;1.4861;1.2971;1.1576;1.2672;1.1207;1.1071
42;1.2582;1.5288;3.4703;1.1097;1.4949;3.4761;1.6191;1.3003;1.1869;1.314;1.1329;1.116
43;1.2761;1.8926;4.4411;1.128;1.4961;4.492;1.6412;1.3312;1.262;1.3184;1.1467;1.1344
44;1.4347;2.0974;6.1606;1.1586;1.9229;6.1603;1.731;1.4913;1.3151;1.5282;1.2069;1.1635
45;1.5824;2.1227;7.1894;1.2118;2.3179;7.196;1.8036;1.5346;1.3241;1.5442;1.2909;1.2235
46;1.8036;2.6508;8.8233;1.2392;2.5146;8.3296;3.3881;1.7237;1.4228;1.681;1.4586;1.3189
47;3.3654;4.2241;9.3621;1.2582;2.6698;9.4506;4.1674;3.3641;1.6605;2.9712;1.4847;1.3768
