idx;full_base;full_post;full_usercut;full_post+usercut;full_post+usercut+ws1;simple_base;simple_post;simple_usercut;simple_post+usercut;simple_post+usercut+ws1
0;1;1;1;1;1;1;1;1.0522;1;1
1;1;1;1;1;1;1.0454;1;1.109;1.0228;1
2;1.0343;1;1;1;1;1.0723;1;1.1154;1.1338;1
3;1.0344;1;1;1;1;1.3772;1;1.1298;1.1388;1
4;1.0415;1;1;1;1;1.4045;1;1.1765;1.1499;1
5;1.0454;1;1;1;1;1.4655;1.0237;1.1821;1.1593;1
6;1.0542;1;1;1;1;1.5166;1.0896;1.2139;1.1683;1
7;1.0576;1;1;1;1;1.5424;1.2261;1.2312;1.1708;1
8;1.1097;1;1.0084;1;1;1.5761;1.2627;1.2337;1.1798;1
9;1.2762;1;1.0118;1;1;1.5903;1.3038;1.3315;1.2653;1
10;1.2892;1;1.018;1;1;1.6312;1.3568;1.3798;1.2815;1
11;1.3077;1;1.0342;1;1;1.6488;1.3578;1.3854;1.319;1
12;1.3154;1.016;1.0436;1;1.0354;1.6585;1.407;1.3944;1.3192;1
13;1.3202;1.0596;1.0455;1;1.0523;1.7203;1.4185;1.4024;1.3663;1
14;1.3555;1.0613;1.0487;1.0026;1.0544;1.7372;1.4215;1.4324;1.3951;1
15;1.3556;1.0676;1.0496;1.0038;1.0924;1.7437;1.4372;1.4341;1.4051;1
16;1.3556;1.0753;1.0747;1.0228;1.12;1.7598;1.4384;1.4823;1.4135;1
17;1.374;1.0792;1.0904;1.0274;1.1844;1.8126;1.4933;1.4884;1.4356;1
18;1.3763;1.0814;1.0967;1.0309;1.2093;1.8242;1.5037;1.5769;1.4414;1
19;1.3784;1.109;1.1062;1.0444;1.2294;1.8811;1.6237;1.5974;1.4435;1
20;1.4045;1.1398;1.1083;1.0465;1.2445;1.9926;1.7115;1.6042;1.4439;1
21;1.4542;1.1622;1.1106;1.047;1.4085;1.999;1.7533;1.6267;1.4455;1
22;1.5283;1.1802;1.1298;1.0552;1.4094;2.0071;1.7569;1.6693;1.4502;1
23;1.5396;1.1901;1.1859;1.0592;1.4385;2.0316;1.7801;1.6783;1.4874;1
24;1.5497;1.2627;1.1953;1.0619;1.4526;2.192;1.94;1.6863;1.5016;1
25;1.6725;1.2832;1.2008;1.0651;1.4773;2.2496;2.0047;1.7351;1.5466;1
26;1.7059;1.2845;1.2125;1.0725;1.5313;2.2533;2.1317;1.7506;1.5502;1
27;1.7203;1.3823;1.2381;1.0841;1.5419;2.3271;2.2082;1.7642;1.5575;1
28;1.7941;1.3897;1.2872;1.1002;1.5755;2.5016;2.3067;1.8031;1.5705;1
29;1.8242;1.4348;1.3128;1.1325;1.5902;2.6001;2.3287;1.8228;1.668;1
30;1.9149;1.4933;1.3271;1.1708;1.6709;2.6229;2.3425;1.8586;1.6735;1
31;1.9212;1.538;1.365;1.1857;1.6778;2.6713;2.4113;1.8687;1.7471;1
32;1.9856;1.5678;1.3798;1.2158;1.8673;2.744;2.4245;1.9469;1.7685;1
33;1.9868;1.6506;1.3884;1.2161;1.8871;2.8108;2.4598;1.961;1.7777;1
34;2.1043;1.7388;1.4582;1.2523;1.9058;3.0633;2.5445;1.9753;1.78;1
35;2.2533;1.8205;1.4823;1.2536;1.9293;3.0727;2.5527;2.0088;1.8062;1
36;2.2916;1.873;1.5328;1.2683;1.9553;3.0744;2.5654;2.1748;1.9391;1
37;2.3101;1.9933;1.6267;1.2901;1.99;3.0802;2.5679;2.2962;2.0682;1
38;2.3606;2.0883;1.7121;1.4895;2.0798;3.2922;2.5883;2.3381;2.3165;1
39;2.3841;2.1372;1.7238;1.5326;2.1002;3.3299;2.6008;2.4112;2.3566;1
40;2.4711;2.1922;1.816;1.5502;2.1391;3.3788;2.923;2.5175;2.4195;1
41;2.622;2.225;1.8479;1.5575;2.3349;3.4735;3.1544;2.6478;2.4513;1.0146
42;2.6713;2.2812;2.0965;1.5759;2.5213;3.5298;3.1966;2.9647;2.4608;1.058
43;2.7563;2.3118;2.2962;1.8338;2.7254;4.3735;3.4568;3.0291;2.562;1.3391
44;2.7721;2.911;2.6478;2.562;3.2943;4.4857;4.1097;3.1075;3.3781;1.4379
45;3.1505;3.4568;2.689;2.9752;3.7589;4.6685;4.5072;4.1424;3.4205;1.9086
46;3.5245;3.8202;3.1075;3.1025;4.1215;5.037;4.5231;4.8822;3.6698;2.1125
47;4.2692;4.1026;6.3063;4.3207;7.6759;5.5764;4.6057;7.1603;4.3207;2.6376
