idx;ben;bran;ben+ws1;bran+ws1
0;1;1;1;1
1;1;1;1;1
2;1.0142;1.0004;1;1
3;1.0481;1.1521;1;1
4;1.0666;1.1631;1;1
5;1.1346;1.3389;1;1
6;1.2748;1.6577;1;1
7;1.5638;2.204;1;1
8;1.6846;2.252;1;1
9;1.9312;2.3179;1;1
10;1.9473;2.4525;1;1
11;2.1547;2.7983;1;1
12;2.1843;2.8151;1;1.0071
13;2.4009;2.8347;1;1.0354
14;2.5745;2.8531;1;1.068
15;2.6028;3.1059;1;1.0864
16;2.6364;3.1613;1;1.1684
17;2.7793;3.1739;1;1.1844
18;2.8405;3.2096;1;1.1923
19;2.9181;3.3918;1;1.2093
20;3.0543;3.4605;1;1.2158
21;3.0893;3.5224;1;1.2216
22;3.1117;3.669;1;1.2294
23;3.1554;3.6988;1.0038;1.4085
24;3.219;3.8615;1.0274;1.4094
25;3.2829;3.9456;1.0444;1.415
26;3.341;3.9639;1.0452;1.4385
27;3.3919;3.9857;1.0465;1.4773
28;3.4306;4.0089;1.0592;1.5755
29;3.4677;4.0496;1.0725;1.5902
30;3.5838;4.0568;1.1002;1.6709
31;3.7214;4.1086;1.2158;1.8871
32;3.79;4.1847;1.2161;1.9058
33;3.889;4.3788;1.2523;1.9293
34;4.0656;4.9038;1.2831;1.9849
35;4.1386;4.9734;1.2901;2.0798
36;4.3794;5.3574;1.4843;2.1002
37;4.579;5.3679;1.4895;2.1391
38;4.7069;5.6495;1.5326;2.3349
39;5.3139;5.9948;1.5575;2.5213
40;5.5777;6.2077;1.5759;2.5382
41;5.7759;6.75;1.8338;2.5565
42;5.879;6.9126;2.0457;2.6365
43;6.4497;8.6414;2.0902;2.7254
44;7.014;10.3828;2.562;3.2943
45;15.5293;13.403;2.9752;3.7589
46;20.8745;20.9232;3.1025;4.0564
47;33.4249;34.0289;4.3207;7.2741
