idx;n;cmp_0.5;cmp_0.3;cmp_0.1;cmp_0.01;bestParam
0;48;1;1;1;1;0.5
1;51;1;1;1;1;0.2
2;52;1;1;1;1;0.2
3;70;1;1;1;1;0.2
4;76;1;1;1;1;0.2
5;76;1;1;1;1;0.4
6;99;1;1;1;1;0.05
7;100;1;1;1;1;0.2
8;100;1;1;1;1;0.3
9;100;1;1;1.0002;1;0.3
10;100;1;1;1.0003;1;0.2
11;100;1;1;1.0007;1;0.3
12;100;1;1;1.001;1;0.4
13;101;1;1;1.001;1.001;0.2
14;105;1;1;1.0013;1.0011;0.4
15;107;1;1;1.0013;1.0018;0.3
16;124;1.0001;1;1.0014;1.003;0.2
17;127;1.0003;1;1.0014;1.0035;0.2
18;130;1.0004;1;1.0014;1.0041;0.5
19;136;1.0007;1;1.0015;1.0049;0.5
20;144;1.0008;1;1.0015;1.0054;0.2
21;150;1.001;1;1.0018;1.0056;0.2
22;150;1.001;1;1.0022;1.0061;0.15
23;150;1.0011;1;1.0023;1.0062;0.2
24;152;1.0011;1;1.0024;1.0064;0.3
25;159;1.0012;1;1.0024;1.0066;0.3
26;195;1.0012;1;1.0027;1.0069;0.01
27;198;1.0014;1;1.0028;1.0071;0.3
28;200;1.0014;1;1.0029;1.0071;0.4
29;200;1.0015;1;1.003;1.0078;0.3
30;225;1.0019;1;1.0031;1.0079;0.05
31;225;1.002;1;1.0031;1.0082;0.2
32;226;1.0021;1.0001;1.0032;1.0085;0.3
33;262;1.0021;1.0001;1.0033;1.0095;0.05
34;264;1.0021;1.0006;1.0034;1.0096;0.15
35;280;1.0022;1.0007;1.0034;1.0104;0.01
36;299;1.0023;1.0008;1.0034;1.0112;0.3
37;318;1.0025;1.001;1.0035;1.0119;0.5
38;400;1.0028;1.0012;1.0036;1.0124;0.4
39;417;1.0029;1.0012;1.0037;1.0126;0.1
40;439;1.003;1.0012;1.0041;1.0129;0.15
41;442;1.0034;1.0014;1.0043;1.0134;0.2
42;493;1.0034;1.0014;1.0044;1.0137;0.1
43;532;1.0036;1.0015;1.0046;1.0139;0.3
44;574;1.0036;1.0018;1.0048;1.0149;0.5
45;575;1.004;1.0018;1.005;1.0151;0.075
46;654;1.0044;1.0023;1.0051;1.016;0.1
47;657;1.0046;1.0027;1.0052;1.0162;0.4
48;724;1.0046;1.0028;1.0053;1.0164;0.3
49;783;1.0046;1.0029;1.0053;1.0165;0.05
50;1000;1.0052;1.0032;1.0053;1.0171;0.3
51;1002;1.0055;1.0035;1.0053;1.0181;0.01
52;1060;1.0055;1.0039;1.0056;1.0196;0.5
53;1084;1.0059;1.0039;1.0065;1.0204;0.2
54;1173;1.006;1.0041;1.0066;1.021;0.03
55;1291;1.0062;1.0043;1.0068;1.0211;0.001
56;1304;1.0065;1.0043;1.0068;1.0215;0.4
57;1323;1.0066;1.0043;1.0072;1.0223;0.5
58;1379;1.0072;1.0043;1.0077;1.0233;0.1
59;1400;1.0073;1.0047;1.0094;1.0238;0.01
60;1432;1.0078;1.0052;1.0095;1.0252;0.001
61;1577;1.0083;1.0067;1.0099;1.0252;0.001
62;1655;1.0088;1.0072;1.0105;1.0259;0.05
63;1748;1.0091;1.008;1.0126;1.0271;0.5
64;1817;1.0095;1.0085;1.0127;1.0271;0.001
65;1889;1.0101;1.0131;1.0159;1.0274;0.5
66;2103;1.0103;1.0139;1.0168;1.0283;0.001
67;2152;1.0118;1.0142;1.0173;1.0284;0.001
68;2319;1.0145;1.0163;1.0185;1.033;0.001
69;2392;1.0181;1.0197;1.0216;1.0351;0.05
