idx;startcost;finalcost;optimalcost
0;1.005;1;1
1;1.0055;1;1
2;1.0108;1;1
3;1.0146;1;1
4;1.0193;1;1
5;1.0193;1;1
6;1.021;1;1
7;1.0224;1;1
8;1.0232;1;1
9;1.0237;1;1
10;1.0241;1.0001;1
11;1.0254;1.0002;1
12;1.0273;1.0003;1
13;1.028;1.0003;1
14;1.0282;1.0007;1
15;1.0285;1.0009;1
16;1.0308;1.0012;1
17;1.0319;1.0014;1
18;1.0327;1.0016;1
19;1.0328;1.0017;1
20;1.0355;1.0021;1
21;1.0358;1.0022;1
22;1.0364;1.0023;1
23;1.0374;1.0026;1
24;1.0376;1.0027;1
25;1.0379;1.003;1
26;1.0394;1.003;1
27;1.0397;1.0032;1
28;1.0399;1.0034;1
29;1.0427;1.0036;1
30;1.0428;1.0039;1
31;1.0433;1.0039;1
32;1.0435;1.0039;1
33;1.0443;1.0041;1
34;1.0445;1.0052;1
35;1.0445;1.0058;1
36;1.0448;1.0059;1
37;1.0459;1.0061;1
38;1.0463;1.0065;1
39;1.0485;1.0071;1
40;1.0495;1.0072;1
41;1.0507;1.0072;1
42;1.0513;1.008;1
43;1.0518;1.0084;1
44;1.052;1.0088;1
45;1.0526;1.0109;1
46;1.0526;1.0127;1
47;1.0529;1.0135;1
48;1.053;1.0138;1
49;1.0534;1.0138;1
50;1.0535;1.0142;1
51;1.0535;1.0143;1
52;1.0538;1.0175;1
53;1.055;1.019;1
54;1.0552;1.0201;1
55;1.0582;1.0221;1
56;1.0585;1.0225;1
57;1.0588;1.0228;1
58;1.0612;1.0242;1
59;1.0632;1.0269;1
60;1.0634;1.0276;1
61;1.0635;1.0276;1
62;1.0645;1.0279;1
63;1.0656;1.0295;1
64;1.0726;1.0307;1
65;1.0733;1.0312;1
66;1.0801;1.0391;1
67;1.0806;1.0402;1
