idx;n;cmp_best;cmp_0.05;cmp_0.01;cmp_0.001;bestParam
0;48;1.0000;1.0000;1.0000;1.0000;0.05
1;51;1.0000;1.0000;1.0000;1.0000;0.05
2;52;1.0000;1.0000;1.0000;1.0000;0.05
3;70;1.0000;1.0000;1.0000;1.0000;0.02
4;76;1.0000;1.0000;1.0000;1.0000;0.03
5;76;1.0000;1.0000;1.0000;1.0000;0.03
6;99;1.0000;1.0000;1.0000;1.0000;0.03
7;100;1.0000;1.0000;1.0000;1.0000;0.01
8;100;1.0000;1.0011;1.0000;1.0000;0.05
9;100;1.0000;1.0012;1.0000;1.0000;0.02
10;100;1.0000;1.0014;1.0000;1.0000;0.05
11;100;1.0000;1.0027;1.0000;1.0000;0.03
12;100;1.0000;1.0033;1.0000;1.0000;0.02
13;101;1.0000;1.0036;1.0000;1.0000;0.03
14;105;1.0000;1.0044;1.0000;1.0000;0.02
15;107;1.0000;1.0053;1.0000;1.0000;0.01
16;124;1.0000;1.0055;1.0004;1.0001;0.02
17;127;1.0000;1.0067;1.0004;1.0002;0.005
18;130;1.0000;1.0072;1.0004;1.0003;0.005
19;136;1.0000;1.0078;1.0005;1.0005;0.01
20;144;1.0000;1.0080;1.0007;1.0011;0.01
21;150;1.0000;1.0083;1.0009;1.0012;0.005
22;150;1.0000;1.0092;1.0010;1.0013;0.01
23;150;1.0000;1.0133;1.0013;1.0013;0.01
24;152;1.0000;1.0154;1.0021;1.0013;0.02
25;159;1.0000;1.0171;1.0022;1.0015;0.005
26;195;1.0000;1.0201;1.0023;1.0015;0.01
27;198;1.0000;1.0203;1.0027;1.0015;0.01
28;200;1.0000;1.0235;1.0031;1.0016;0.01
29;200;1.0000;1.0263;1.0033;1.0016;0.01
30;225;1.0000;1.0305;1.0039;1.0018;0.005
31;225;1.0000;1.0346;1.0039;1.0019;0.005
32;226;1.0000;1.0363;1.0041;1.0020;0.005
33;262;1.0000;1.0411;1.0042;1.0021;0.005
34;264;1.0000;1.0461;1.0046;1.0022;0.005
35;280;1.0000;1.0541;1.0050;1.0027;0.01
36;299;1.0000;1.0596;1.0054;1.0028;0.005
37;318;1.0000;1.0736;1.0055;1.0033;0.005
38;400;1.0000;1.0820;1.0061;1.0033;0.005
39;417;1.0000;1.1172;1.0062;1.0033;0.005
40;439;1.0000;1.1251;1.0086;1.0033;0.005
41;442;1.0000;1.1290;1.0097;1.0034;0.005
42;493;1.0000;1.1353;1.0110;1.0045;0.001
43;532;1.0000;1.1404;1.0111;1.0046;0.001
44;574;1.0002;1.1666;1.0112;1.0046;0.001
45;575;1.0002;1.1852;1.0144;1.0052;0.001
46;654;1.0003;1.1987;1.0165;1.0053;0.001
47;657;1.0004;1.2394;1.0176;1.0053;0.005
48;724;1.0004;1.2487;1.0184;1.0057;0.001
49;783;1.0011;1.4044;1.0188;1.0057;0.001
50;1000;1.0012;1.4089;1.0237;1.0057;0.001
51;1002;1.0012;1.4211;1.0249;1.0062;0.001
52;1060;1.0015;1.4389;1.0249;1.0064;0.001
53;1084;1.0015;1.4782;1.0262;1.0068;0.001
54;1173;1.0017;1.4912;1.0280;1.0074;0.001
55;1291;1.0019;1.5113;1.0321;1.0078;0.001
56;1304;1.0021;1.5655;1.0374;1.0078;0.001
57;1323;1.0022;1.6153;1.0411;1.0080;0.001
58;1379;1.0022;1.7012;1.0427;1.0086;0.001
59;1400;1.0023;1.7102;1.0434;1.0086;0.001
60;1432;1.0023;1.7289;1.0480;1.0091;0.001
61;1577;1.0024;1.7500;1.0573;1.0091;0.001
62;1655;1.0027;1.8759;1.0574;1.0102;0.001
63;1748;1.0027;1.8838;1.0579;1.0104;0.001
64;1817;1.0028;1.9806;1.0581;1.0105;0.001
65;1889;1.0029;1.9806;1.0710;1.0109;0.001
66;2103;1.0031;1.9960;1.0727;1.0128;0.001
67;2152;1.0031;2.0501;1.0815;1.0131;0.001
68;2319;1.0035;2.1132;1.0878;1.0136;0.001
69;2392;1.0039;2.2086;1.0986;1.0140;0.001
70;3038;1.0040;2.2586;1.0989;1.0142;0.001
71;3795;1.0044;2.4489;1.1475;1.0143;0.001
72;4461;1.0044;3.3514;1.2955;1.0147;0.001
73;5915;1.0045;3.3725;1.3134;1.0154;0.001
74;5934;1.0047;3.8928;1.3540;1.0165;0.001
75;7397;1.0056;4.0011;1.4435;1.0182;0.001
76;11849;1.0067;4.2363;1.4458;1.0182;0.001
77;13509;1.0068;4.2450;1.4505;1.0212;0.001
78;14051;1.0070;4.4721;1.4874;1.0240;0.001
79;15112;1.0092;4.5030;1.5104;1.0270;0.001
80;18512;1.0111;4.6496;1.5174;1.0411;0.001
81;33810;1.0114;6.1927;1.9009;1.0503;0.001
82;85900;1.0135;8.6986;2.4279;1.1000;0.001
